"MES","REGIONAL","CENTRO.DE.FORMACION","GRUPO.O.DEPENDENCIA","FUNCIONARIO","APLICATIVO","CANAL","MEDIO.DE.INGRESO","GRUPO.DE.INTERES","ASUNTO","TIPO.DE.PETICION","TEMA.PQRS","ESTADO.REAL.PQRS"
"Enero","Bolivar","Centro Para La Industria Petroquimica","Despacho Subdireccion De Centro","Roberto Plata Chacon","Onbase","Virtual","Web","Instructor","Peticion","De Informacion","Banco De Instructores Sena","Respuesta Fuera De Terminos"
"Enero","Antioquia","Complejo Tecnologico Agroindustrial, Pecuario Y Turistico","Despacho Subdireccion De Centro","(E) Jorge Andres Arias Hernandez","Onbase","Virtual","Web","Instructor","Peticion","De Informacion","Banco De Instructores Sena","Respuesta Fuera De Terminos"
"Enero","Atlantico","Centro Industrial Y De Aviacion","Grupo Apoyo Administrativo Mixto","Carlos Alveiro Giraldo Ceballos","Onbase","Virtual","Web","Adulto Mayor","Peticion","De Servicios","Tiempo De Vigencia De Certificacion","Respuesta Fuera De Terminos"
"Enero","Magdalena","Regional","Grupo De Relaciones Corporativas E Internacionales","Luis Enrique Castro Valencia","Onbase","Virtual","Web","Aprendiz Sena","Queja","Servidor Publico","Mala Prestacion Del Servicio - Colaborador Sena","Respuesta Fuera De Terminos"
"Enero","Distrito Capital","Centro Nacional De Hoteleria, Turismo Y Alimentos","Despacho Subdireccion De Centro","(E) Sonia Yamile Acuna Lesmes","Onbase","Virtual","Email","Ciudadano","Tutelas","Otros Derechos","Prestacion Del Servicio","Respuesta Fuera De Terminos"
"Enero","Cesar","Centro Biotecnologico Del Caribe","Despacho Subdireccion De Centro","(E) Jaime Jose Baute Dangon","Onbase","Virtual","Web","Instructor","Peticion","De Documentacion","Certificado De Competencia Laboral Del Proceso De Evaluacion Y Certificacion De Competencias Laborales","Respuesta Fuera De Terminos"
"Enero","Santander","Regional","Despacho Direccion Regional","(E) Jose Wilson Carrero Maldonado","Onbase","Virtual","Web","Ciudadano","Sugerencia","Entidad","Servicio De Atencion Al Ciudadano","Respuesta Fuera De Terminos"
"Enero","Magdalena","Regional","Grupo Apoyo Adminsitrativo Mixto","Wendy Carolina Fernandez Bravo","Onbase","Virtual","Web","Instructor","Peticion","De Informacion","Agencia Publica De Empleo","Respuesta Fuera De Terminos"
"Enero","Distrito Capital","Centro De Tecnologias Del Transporte","Despacho Subdireccion De Centro","William Dario Riano Baron","Onbase","Virtual","Web","Instructor","Peticion","De Informacion","Banco De Instructores Sena","Respuesta Fuera De Terminos"
"Enero","Cordoba","Regional","Despacho Direccion Regional","(E) Jose Nicolas Barrios Sierra","Onbase","Virtual","Email","Entidades Del Estado Y/O Autoridades","Tutelas","Otros Derechos","Solicitudes Administrativas","Respuesta Fuera De Terminos"
"Enero","Cesar","Centro Biotecnologico Del Caribe","Despacho Subdireccion De Centro","(E) Jaime Jose Baute Dangon","Onbase","Virtual","Web","Ciudadano","Peticion","De Documentacion","Certificado Formacion Titulada","Respuesta Fuera De Terminos"
"Enero","San Andres","Regional","Grupo Formacion Profesional","Melania Francis Davis","Onbase","Virtual","Web","Ciudadano","Peticion","De Informacion","Estado De Cuenta","Respuesta Fuera De Terminos"
"Enero","Santander","Centro De Servicios Empresariales Y Turisticos","Despacho Subdireccion De Centro","Leonardo Hernandez Silva","Onbase","Virtual","Web","Aprendiz Sena","Peticion","De Servicios","Solicitud De Reintegro","Respuesta Fuera De Terminos"
"Enero","Antioquia","Complejo Tecnologico Agroindustrial, Pecuario Y Turistico","Despacho Subdireccion De Centro","(E) Jorge Andres Arias Hernandez","Onbase","Virtual","Web","Aprendiz Sena","Sugerencia","Servidor Publico","Prestacion Del Servicio - Instructor","Respuesta Fuera De Terminos"
"Enero","Bolivar","Regional","Despacho Direccion Regional","Jaime Torrado Casadiegos","Onbase","Virtual","Email","Entidades Del Estado Y/O Autoridades","Tutelas","Otros Derechos","Solicitudes Administrativas","Respuesta Fuera De Terminos"
"Enero","Cesar","Centro Biotecnologico Del Caribe","Despacho Subdireccion De Centro","(E) Jaime Jose Baute Dangon","Onbase","Virtual","Email","Ciudadano","Peticion","Interes General O Particular","Solicitudes Administrativas","Respuesta Fuera De Terminos"
"Enero","Magdalena","Regional","Despacho Direccion Regional","Victor Hugo Armenta Herrera","Onbase","Virtual","Email","Entidades Del Estado Y/O Autoridades","Tutelas","Otros Derechos","Solicitudes Administrativas","Respuesta Fuera De Terminos"
"Enero","Cauca","Regional","Despacho Direccion Regional","Hernando Ramirez Dulcey","Onbase","Virtual","Email","Entidades Del Estado Y/O Autoridades","Tutelas","Otros Derechos","Solicitudes Administrativas","Respuesta Fuera De Terminos"
"Enero","Distrito Capital","Centro De Tecnologias Del Transporte","Despacho Subdireccion De Centro","William Dario Riano Baron","Onbase","Virtual","Email","Entidades Del Estado Y/O Autoridades","Tutelas","Otros Derechos","Solicitudes Administrativas","Respuesta Fuera De Terminos"
"Enero","Santander","Regional","Despacho Direccion Regional","(E) Jose Wilson Carrero Maldonado","Onbase","Virtual","Email","Entidades Del Estado Y/O Autoridades","Tutelas","Otros Derechos","Solicitudes Administrativas","Respuesta Fuera De Terminos"
"Enero","Risaralda","Regional","Despacho Direccion Regional","(E) Carlos Alberto Palacios Chaverra","Onbase","Virtual","Email","Entidades Del Estado Y/O Autoridades","Tutelas","Otros Derechos","Solicitudes Administrativas","Respuesta Fuera De Terminos"
"Enero","Santander","Centro Industrial Y Del Desarrollo Tecnologico","Despacho Subdireccion De Centro","Edgar Alfonso Navas Rojas","Onbase","Virtual","Web","Instructor","Peticion","De Informacion","Banco De Instructores Sena","Respuesta Fuera De Terminos"
"Enero","Direccion General","Direccion De Formacion Profesional","Grupo Gestion Administrativa","Adriana Penaloza","Onbase","Virtual","Email","Entidades Del Estado Y/O Autoridades","Peticion","Interes General O Particular","Servicio De Atencion Al Ciudadano","Respuesta Fuera De Terminos"
"Enero","Magdalena","Centro Acuicola Y Agroindustrial De Gaira","Despacho Subdireccion De Centro","(E) Julio Rafael Del Castillo Lozano","Onbase","Virtual","Web","Ciudadano","Reclamo","Prestacion De Un Servicio","Banco De Instructores Sena","Respuesta Fuera De Terminos"
"Enero","Magdalena","Regional","Despacho Direccion Regional","Victor Hugo Armenta Herrera","Onbase","Virtual","Email","Entidades Del Estado Y/O Autoridades","Tutelas","Otros Derechos","Solicitudes Administrativas","Respuesta Fuera De Terminos"
"Enero","Atlantico","Centro De Comercio Y Servicios","Despacho Subdireccion De Centro","Elizabeth Tuberquia Vanegas","Onbase","Virtual","Email","Servidor Publico","Peticion","De Informacion","Solicitudes Administrativas","Respuesta Fuera De Terminos"
"Enero","Direccion General","Secretaria General","Despacho Direccion","Emmanuel Santiago Diaz Munoz","Onbase","Virtual","Email","Ciudadano","Peticion","Interes General O Particular","Servicio De Atencion Al Ciudadano","Respuesta Fuera De Terminos"
"Enero","Direccion General","Secretaria General","Despacho Direccion","Emmanuel Santiago Diaz Munoz","Onbase","Virtual","Email","Ciudadano","Peticion","Interes General O Particular","Servicio De Atencion Al Ciudadano","Respuesta Fuera De Terminos"
"Enero","Distrito Capital","Centro De Tecnologias Para La Construccion Y La Madera","Despacho Subdireccion De Centro","(E) Fabio Humberto Molano Olmos","Onbase","Virtual","Web","Empresa","Peticion","De Documentacion","Aportes Fic","Respuesta Fuera De Terminos"
"Enero","Magdalena","Regional","Grupo De Relaciones Corporativas E Internacionales","Luis Enrique Castro Valencia","Onbase","Virtual","Web","Empresa","Peticion","De Informacion","Contrato De Aprendizaje","Respuesta Fuera De Terminos"
"Enero","Antioquia","Complejo Tecnologico Agroindustrial, Pecuario Y Turistico","Despacho Subdireccion De Centro","(E) Jorge Andres Arias Hernandez","Onbase","Virtual","Web","Ciudadano","Peticion","De Informacion","Banco De Instructores Sena","Respuesta Fuera De Terminos"
"Enero","Putumayo","Regional","Grupo De Formacion Profesional Y Empleo","Jose Ricardo Ordonez Barrera","Onbase","Virtual","Email","Empresa","Peticion","Interes General O Particular","Servicio De Atencion Al Ciudadano","Respuesta Fuera De Terminos"
"Enero","Cundinamarca","Centro De Desarrollo Agroindustrial Y Empresarial","Grupo De F. I. Gestion Educativa Y Relaciones Corporativas","Laura Viviana Hernandez Morera","Onbase","Virtual","Web","Instructor","Peticion","De Informacion","Banco De Instructores Sena","Respuesta Fuera De Terminos"
"Enero","Antioquia","Complejo Tecnologico Agroindustrial, Pecuario Y Turistico","Despacho Subdireccion De Centro","(E) Jorge Andres Arias Hernandez","Onbase","Virtual","Email","Ciudadano","Tutelas","Otros Derechos","Poblacion Vulnerables Y Victimas - Inscripcion A Programas","Respuesta Fuera De Terminos"
"Enero","Bolivar","Regional","Despacho Direccion Regional","Jaime Torrado Casadiegos","Onbase","Virtual","Email","Ciudadano","Peticion","De Servicios","Servicio Nacional De Empleo","Respuesta Fuera De Terminos"
"Enero","Bolivar","Regional","Despacho Direccion Regional","Jaime Torrado Casadiegos","Onbase","Virtual","Email","Entidades Del Estado Y/O Autoridades","Tutelas","Otros Derechos","Solicitudes Administrativas","Respuesta Fuera De Terminos"
"Enero","Distrito Capital","Centro De Tecnologias Del Transporte","Despacho Subdireccion De Centro","William Dario Riano Baron","Onbase","Virtual","Web","Aprendiz Sena","Peticion","De Informacion","Certificaciones Aprendiz","Respuesta Fuera De Terminos"
"Enero","Santander","Centro De Servicios Empresariales Y Turisticos","Despacho Subdireccion De Centro","Leonardo Hernandez Silva","Onbase","Virtual","Web","Ciudadano","Peticion","De Informacion","Banco De Instructores Sena","Respuesta Fuera De Terminos"
"Enero","Bolivar","Regional","Despacho Direccion Regional","Jaime Torrado Casadiegos","Onbase","Virtual","Email","Entidades Del Estado Y/O Autoridades","Tutelas","Otros Derechos","Solicitudes Administrativas","Respuesta Fuera De Terminos"
"Enero","Santander","Regional","Agencia Publica De Empleo","Juan Antonio Tautiva Duenas","Onbase","Virtual","Web","Persona Con Discapacidad","Peticion","De Servicios","Ape- Validacion Documentos Hoja De Vida","Respuesta Fuera De Terminos"
"Enero","Santander","Regional","Despacho Direccion Regional","(E) Jose Wilson Carrero Maldonado","Onbase","Virtual","Email","Entidades Del Estado Y/O Autoridades","Tutelas","Otros Derechos","Solicitudes Administrativas","Respuesta Fuera De Terminos"
"Enero","Santander","Regional","Despacho Direccion Regional","(E) Jose Wilson Carrero Maldonado","Onbase","Virtual","Email","Entidades Del Estado Y/O Autoridades","Tutelas","Otros Derechos","Solicitudes Administrativas","Respuesta Fuera De Terminos"
"Enero","Antioquia","Complejo Tecnologico Minero Agroempresarial","Despacho Subdireccion De Centro","Fernando Cano Gomez","Onbase","Virtual","Web","Ciudadano","Queja","Entidad","Irregularidades Contratacion - Prestacion Servicios Personales Centros De Formacion","Respuesta Fuera De Terminos"
"Enero","Meta","Regional","Grupo Apoyo Administrativo Mixto","Eberth Alfonso Castro Murcia","Onbase","Virtual","Email","Ciudadano","Peticion","De Informacion","Contratacion - Prestacion Servicios Personales Centros","Respuesta Fuera De Terminos"
"Enero","Santander","Regional","Agencia Publica De Empleo","Juan Antonio Tautiva Duenas","Onbase","Virtual","Web","Ciudadano","Peticion","De Informacion","Agencia Publica De Empleo","Respuesta Fuera De Terminos"
"Enero","Distrito Capital","Regional","Grupo Apoyo Administrativo Mixto","Yenni Mercedes Soto Vergel","Onbase","Virtual","Web","Instructor","Peticion","De Documentacion","Certificado De Competencia Laboral Del Proceso De Evaluacion Y Certificacion De Competencias Laborales","Respuesta Fuera De Terminos"
"Enero","Distrito Capital","Centro Metalmecanico","Grupo De F. I. Gestion Educativa Y Relaciones Corporativas","Jose Giovanni Lozano Bolivar","Onbase","Virtual","Web","Ciudadano","Peticion","De Informacion","Certificaciones Aprendiz","Respuesta Fuera De Terminos"
"Enero","Distrito Capital","Centro De Tecnologias Para La Construccion Y La Madera","Despacho Subdireccion De Centro","(E) Fabio Humberto Molano Olmos","Onbase","Virtual","Web","Ciudadano","Peticion","De Informacion","Certificaciones Aprendiz","Respuesta Fuera De Terminos"
"Enero","Magdalena","Regional","Grupo De Relaciones Corporativas E Internacionales","Luis Enrique Castro Valencia","Onbase","Virtual","Web","Empresa","Peticion","De Documentacion","Paz Y Salvo De Aportes","Respuesta Fuera De Terminos"
"Enero","Magdalena","Regional","Grupo De Relaciones Corporativas E Internacionales","Luis Enrique Castro Valencia","Onbase","Virtual","Web","Empresa","Peticion","De Informacion","Contrato De Aprendizaje","Respuesta Fuera De Terminos"
"Enero","Distrito Capital","Centro De Tecnologias Para La Construccion Y La Madera","Grupo De Formacion Profesional","Myriam Buitrago Gonzalez","Onbase","Virtual","Web","Ciudadano","Peticion","De Servicios","Ape- Restablecimiento De Contrasena Y Actualizacion De Datos","Respuesta Fuera De Terminos"
"Enero","Cesar","Centro Biotecnologico Del Caribe","Despacho Subdireccion De Centro","(E) Jaime Jose Baute Dangon","Onbase","Virtual","Web","Ciudadano","Peticion","De Informacion","Banco De Instructores Sena","Respuesta Fuera De Terminos"
"Enero","Cesar","Centro Biotecnologico Del Caribe","Despacho Subdireccion De Centro","(E) Jaime Jose Baute Dangon","Onbase","Virtual","Web","Ciudadano","Peticion","De Documentacion","Certificado Formacion Titulada","Respuesta Fuera De Terminos"
"Enero","Antioquia","Complejo Tecnologico Minero Agroempresarial","Despacho Subdireccion De Centro","Fernando Cano Gomez","Onbase","Virtual","Web","Ciudadano","Reclamo","Prestacion De Un Servicio","Banco De Instructores Sena","Respuesta Fuera De Terminos"
"Enero","Meta","Centro Agroindustrial Del Meta","Despacho Subdireccion De Centro","Belisario Gomez Perdomo","Onbase","Virtual","Web","Ciudadano","Peticion","De Documentacion","Certificado Formacion Titulada","Respuesta Fuera De Terminos"
"Enero","Atlantico","Centro De Comercio Y Servicios","Despacho Subdireccion De Centro","Elizabeth Tuberquia Vanegas","Onbase","Virtual","Web","Ciudadano","Queja","Entidad","Irregularidades Contratacion - Prestacion Servicios Personales Centros De Formacion","Respuesta Fuera De Terminos"
"Enero","Cesar","Centro Biotecnologico Del Caribe","Despacho Subdireccion De Centro","(E) Jaime Jose Baute Dangon","Onbase","Virtual","Web","Aprendiz Sena","Peticion","De Documentacion","Certificado Formacion Titulada","Respuesta Fuera De Terminos"
"Enero","Cesar","Centro Biotecnologico Del Caribe","Despacho Subdireccion De Centro","(E) Jaime Jose Baute Dangon","Onbase","Virtual","Web","Aprendiz Sena","Peticion","De Documentacion","Certificado Formacion Titulada","Respuesta Fuera De Terminos"
"Enero","Magdalena","Centro De Logistica Y Promocion Ecoturistica Del Magdalena","Despacho Subdireccion De Centro","Jairo John Abello Camargo","Onbase","Virtual","Web","Ciudadano","Reclamo","Prestacion De Un Servicio","Banco De Instructores Sena","Respuesta Fuera De Terminos"
"Enero","Santander","Centro De Servicios Empresariales Y Turisticos","Despacho Subdireccion De Centro","Leonardo Hernandez Silva","Onbase","Virtual","Web","Persona En Situacion De Desplazamiento","Peticion","De Informacion","Banco De Instructores Sena","Respuesta Fuera De Terminos"
"Enero","Distrito Capital","Centro De Tecnologias Para La Construccion Y La Madera","Grupo De Formacion Profesional","Myriam Buitrago Gonzalez","Onbase","Virtual","Web","Ciudadano","Peticion","De Servicios","Ape-Orientacion","Respuesta Fuera De Terminos"
"Enero","Distrito Capital","Centro De Tecnologias Para La Construccion Y La Madera","Despacho Subdireccion De Centro","(E) Fabio Humberto Molano Olmos","Onbase","Virtual","Email","Servidor Publico","Peticion","De Documentacion","Solicitudes Administrativas","Respuesta Fuera De Terminos"
"Enero","Antioquia","Complejo Tecnologico Agroindustrial, Pecuario Y Turistico","Despacho Subdireccion De Centro","(E) Jorge Andres Arias Hernandez","Onbase","Virtual","Email","Entidades Del Estado Y/O Autoridades","Tutelas","Otros Derechos","Solicitudes Administrativas","Respuesta Fuera De Terminos"
"Enero","Bolivar","Regional","Despacho Direccion Regional","Jaime Torrado Casadiegos","Onbase","Virtual","Email","Entidades Del Estado Y/O Autoridades","Tutelas","Otros Derechos","Solicitudes Administrativas","Respuesta Fuera De Terminos"
"Enero","Distrito Capital","Centro De Tecnologias Para La Construccion Y La Madera","Despacho Subdireccion De Centro","(E) Fabio Humberto Molano Olmos","Onbase","Virtual","Email","Ciudadano","Peticion","De Informacion","Certificado De Competencia Laboral","Respuesta Fuera De Terminos"
"Enero","Santander","Regional","Despacho Direccion Regional","(E) Jose Wilson Carrero Maldonado","Onbase","Virtual","Email","Entidades Del Estado Y/O Autoridades","Tutelas","Otros Derechos","Solicitudes Administrativas","Respuesta Fuera De Terminos"
"Enero","Direccion General","Secretaria General","Grupo Administracion Nomina Y Salarios","Olga Marcela Galeano","Onbase","Virtual","Web","Adulto Mayor","Reclamo","Peticion Sin Responder","Peticion Que Transcurrio Tiempo Normativo Y No Se Ha Recibido Respuesta","Respuesta Fuera De Terminos"
"Enero","Atlantico","Centro De Comercio Y Servicios","Despacho Subdireccion De Centro","Elizabeth Tuberquia Vanegas","Onbase","Virtual","Web","Ciudadano","Queja","Entidad","Proceso Meritocratico - Gerentes Publicos","Respuesta Fuera De Terminos"
"Enero","Distrito Capital","Regional","Grupo De Formacion Profesional Y Empleo","Ana Milena Angel Parra","Onbase","Virtual","Email","Entidades Del Estado Y/O Autoridades","Tutelas","Otros Derechos","Solicitudes Administrativas","Respuesta Fuera De Terminos"
"Enero","Amazonas","Regional","Grupo De Formacion Profesional Y Empleo","Susana De Las Mercedes Cortes","Onbase","Virtual","Web","Ciudadano","Peticion","De Informacion","Publicacion De Vacante","Respuesta Fuera De Terminos"
"Enero","Cesar","Centro Biotecnologico Del Caribe","Despacho Subdireccion De Centro","(E) Jaime Jose Baute Dangon","Onbase","Virtual","Web","Ciudadano","Peticion","De Documentacion","Certificado De Competencia Laboral Del Proceso De Evaluacion Y Certificacion De Competencias Laborales","Respuesta Fuera De Terminos"
"Enero","Distrito Capital","Centro De Tecnologias Del Transporte","Despacho Subdireccion De Centro","William Dario Riano Baron","Onbase","Virtual","Web","Aprendiz Sena","Peticion","De Informacion","Inscripcion - Programas Formacion Titulada","Respuesta Fuera De Terminos"
"Enero","Distrito Capital","Centro De Tecnologias Para La Construccion Y La Madera","Despacho Subdireccion De Centro","(E) Fabio Humberto Molano Olmos","Onbase","Virtual","Email","Ciudadano","Peticion","De Informacion","Solicitudes Administrativas","Respuesta Fuera De Terminos"
"Enero","Cesar","Centro Biotecnologico Del Caribe","Despacho Subdireccion De Centro","(E) Jaime Jose Baute Dangon","Onbase","Virtual","Web","Aprendiz Sena","Reclamo","Peticion Sin Responder","Peticion Que Transcurrio Tiempo Normativo Y No Se Ha Recibido Respuesta","Respuesta Fuera De Terminos"
"Enero","Cesar","Centro Biotecnologico Del Caribe","Despacho Subdireccion De Centro","(E) Jaime Jose Baute Dangon","Onbase","Virtual","Web","Aprendiz Sena","Reclamo","Peticion Sin Responder","Peticion Que Transcurrio Tiempo Normativo Y No Se Ha Recibido Respuesta","Respuesta Fuera De Terminos"
"Enero","Cundinamarca","Centro De Biotecnologia Agropecuaria","Grupo Administracion Educativa","Jose Raul Perilla Gutierrez","Onbase","Virtual","Web","Ciudadano","Peticion","De Documentacion","Certificado Formacion Titulada","Respuesta Fuera De Terminos"
"Enero","Cesar","Centro Biotecnologico Del Caribe","Despacho Subdireccion De Centro","(E) Jaime Jose Baute Dangon","Onbase","Virtual","Web","Aprendiz Sena","Peticion","De Informacion","Certificaciones Aprendiz","Respuesta Fuera De Terminos"
"Enero","Cesar","Regional","Despacho Direccion Regional","Jesus Alberto Namen Chavarro","Onbase","Virtual","Email","Ciudadano","Tutelas","Otros Derechos","Personales Regionales","Respuesta Fuera De Terminos"
"Enero","Atlantico","Centro De Comercio Y Servicios","Despacho Subdireccion De Centro","Elizabeth Tuberquia Vanegas","Onbase","Virtual","Web","Instructor","Reclamo","Prestacion De Un Servicio","Banco De Instructores Sena","Respuesta Fuera De Terminos"
"Enero","Cesar","Centro Biotecnologico Del Caribe","Despacho Subdireccion De Centro","(E) Jaime Jose Baute Dangon","Onbase","Virtual","Web","Ciudadano","Reclamo","Peticion Sin Responder","Peticion Que Transcurrio Tiempo Normativo Y No Se Ha Recibido Respuesta","Respuesta Fuera De Terminos"
"Enero","Distrito Capital","Centro De Tecnologias Para La Construccion Y La Madera","Despacho Subdireccion De Centro","(E) Fabio Humberto Molano Olmos","Onbase","Virtual","Web","Ciudadano","Peticion","De Informacion","Banco De Instructores Sena","Respuesta Fuera De Terminos"
"Enero","Distrito Capital","Centro De Tecnologias Para La Construccion Y La Madera","Despacho Subdireccion De Centro","(E) Fabio Humberto Molano Olmos","Onbase","Virtual","Web","Instructor","Peticion","De Servicios","Solicitud De Aplazamiento","Respuesta Fuera De Terminos"
"Enero","Santander","Regional","Despacho Direccion Regional","(E) Jose Wilson Carrero Maldonado","Onbase","Virtual","Email","Ciudadano","Tutelas","Derecho A Trabajo Digno","Personales Regionales","Respuesta Fuera De Terminos"
"Enero","Distrito Capital","Centro De Tecnologias Para La Construccion Y La Madera","Despacho Subdireccion De Centro","(E) Fabio Humberto Molano Olmos","Onbase","Virtual","Web","Servidor Publico","Sugerencia","Servicios Sena","Inscripcion - Programas Formacion Titulada","Respuesta Fuera De Terminos"
"Enero","Distrito Capital","Regional","Grupo De Gestion De Talento Humano","Jeimy Lorena Pineda Manosalva","Onbase","Virtual","Email","Instructor","Peticion","De Servicios","Poblacion Vulnerables Y Victimas - Inscripcion A Programas","Respuesta Fuera De Terminos"
"Enero","Cesar","Regional","Despacho Direccion Regional","Jesus Alberto Namen Chavarro","Onbase","Virtual","Email","Ciudadano","Tutelas","Otros Derechos","Personales Regionales","Respuesta Fuera De Terminos"
"Enero","Casanare","Centro Agroindustrial Y Fortalecimiento Empresarial De Casanare","Grupo Apoyo Administrativo Mixto","Myriam Ramirez","Onbase","Virtual","Web","Ciudadano","Peticion","De Documentacion","Certificaciones Tributarias","Respuesta Fuera De Terminos"
"Enero","Distrito Capital","Regional","Grupo De Gestion De Talento Humano","Edwdey Patricia Trejos Vaquiro","Onbase","Virtual","Email","Ciudadano","Tutelas","Otros Derechos","Personales Direccion General","Respuesta Fuera De Terminos"
"Enero","Quindio","Regional","Despacho Direccion Regional","Carlos Fabio Alvarez Angel","Onbase","Virtual","Email","Ciudadano","Tutelas","Otros Derechos","Personales Regionales","Respuesta Fuera De Terminos"
"Enero","Antioquia","Regional","Despacho Direccion Regional","Kelly Jhoanna Jimenez Mora","Onbase","Virtual","Email","Ciudadano","Tutelas","Otros Derechos","Convocatorias Comision Nacional Servicio Civil Cnsc","Respuesta Fuera De Terminos"
"Enero","Cesar","Centro Biotecnologico Del Caribe","Despacho Subdireccion De Centro","(E) Jaime Jose Baute Dangon","Onbase","Virtual","Email","Ciudadano","Peticion","Interes General O Particular","Personales Centros De Formacion","Respuesta Fuera De Terminos"
"Enero","Santander","Centro De Servicios Empresariales Y Turisticos","Despacho Subdireccion De Centro","Leonardo Hernandez Silva","Onbase","Virtual","Web","Ciudadano","Peticion","De Informacion","Estado De Cuenta","Respuesta Fuera De Terminos"
"Enero","Cesar","Centro Biotecnologico Del Caribe","Despacho Subdireccion De Centro","(E) Jaime Jose Baute Dangon","Onbase","Virtual","Web","Aprendiz Sena","Peticion","De Servicios","Solicitud De Reintegro","Respuesta Fuera De Terminos"
"Enero","Distrito Capital","Centro De Tecnologias Del Transporte","Despacho Subdireccion De Centro","William Dario Riano Baron","Onbase","Virtual","Web","Aprendiz Sena","Reclamo","Peticion Sin Responder","Peticion Que Transcurrio Tiempo Normativo Y No Se Ha Recibido Respuesta","Respuesta Fuera De Terminos"
"Enero","Cesar","Centro Biotecnologico Del Caribe","Despacho Subdireccion De Centro","(E) Jaime Jose Baute Dangon","Onbase","Virtual","Web","Aprendiz Sena","Peticion","De Informacion","Informacion General Formacion Profesional","Respuesta Fuera De Terminos"
"Enero","Distrito Capital","Centro De Tecnologias Para La Construccion Y La Madera","Despacho Subdireccion De Centro","(E) Fabio Humberto Molano Olmos","Onbase","Virtual","Web","Aprendiz Sena","Peticion","De Servicios","Solicitud De Aplazamiento","Respuesta Fuera De Terminos"
"Enero","Distrito Capital","Regional","Grupo De Gestion De Talento Humano","Rodrigo Hernando Tibaquira Ramos","Onbase","Virtual","Email","Ciudadano","Peticion","De Consulta","Peticion Que Transcurrio Tiempo Normativo Y No Se Ha Recibido Respuesta","Respuesta Fuera De Terminos"
"Enero","Atlantico","Centro Industrial Y De Aviacion","Grupo De F. I. Gestion Educativa Y Relaciones Corporativas","Mildred Mercedes Beltran Medina","Onbase","Virtual","Web","Ciudadano","Peticion","De Informacion","Inscripcion - Programas Formacion Titulada","Respuesta Fuera De Terminos"
"Enero","Magdalena","Regional","Despacho Direccion Regional","Victor Hugo Armenta Herrera","Onbase","Virtual","Email","Entidades Del Estado Y/O Autoridades","Tutelas","Otros Derechos","Solicitudes Administrativas","Respuesta Fuera De Terminos"
"Enero","Distrito Capital","Centro De Tecnologias Del Transporte","Despacho Subdireccion De Centro","William Dario Riano Baron","Onbase","Virtual","Web","Aprendiz Sena","Peticion","De Servicios","Ape-Servicio A Ciudadanos Y Empresas","Respuesta Fuera De Terminos"
"Enero","Distrito Capital","Centro Nacional De Hoteleria, Turismo Y Alimentos","Despacho Subdireccion De Centro","(E) Sonia Yamile Acuna Lesmes","Onbase","Virtual","Web","Aprendiz Sena","Peticion","De Servicios","Ape-Eliminacion Registro","Respuesta Fuera De Terminos"
"Enero","Cesar","Centro Biotecnologico Del Caribe","Despacho Subdireccion De Centro","(E) Jaime Jose Baute Dangon","Onbase","Virtual","Web","Instructor","Peticion","De Informacion","Publicacion De Vacante","Respuesta Fuera De Terminos"
"Enero","Distrito Capital","Centro Nacional De Hoteleria, Turismo Y Alimentos","Despacho Subdireccion De Centro","(E) Sonia Yamile Acuna Lesmes","Onbase","Virtual","Email","Ciudadano","Peticion","De Servicios","Certificado Formacion Titulada","Respuesta Fuera De Terminos"
"Enero","Distrito Capital","Regional","Grupo De Gestion De Talento Humano","Jeimy Lorena Pineda Manosalva","Onbase","Virtual","Email","Ciudadano","Peticion","De Servicios","Solicitudes Administrativas","Respuesta Fuera De Terminos"
"Enero","Santander","Centro De Servicios Empresariales Y Turisticos","Despacho Subdireccion De Centro","Jose Manuel Ariza Ariza","Onbase","Virtual","Email","Ciudadano","Peticion","De Informacion","Inscripcion - Programas Formacion Titulada","Respuesta Fuera De Terminos"
"Enero","Meta","Centro Agroindustrial Del Meta","Despacho Subdireccion De Centro","Olga Matilde Ahumada Sabogal","Onbase","Virtual","Email","Entidades Del Estado Y/O Autoridades","Tutelas","Otros Derechos","Solicitudes Administrativas","Respuesta Fuera De Terminos"
"Enero","Cundinamarca","Regional","Grupo De Relaciones Corporativas E Internacionales","Fabiola Cadena Diaz","Onbase","Virtual","Email","Ciudadano","Peticion","De Informacion","Contrato De Aprendizaje","Respuesta Fuera De Terminos"
"Enero","Cesar","Centro Biotecnologico Del Caribe","Despacho Subdireccion De Centro","(E) Jaime Jose Baute Dangon","Onbase","Virtual","Web","Aprendiz Sena","Peticion","De Servicios","Solicitud De Aplazamiento","Respuesta Fuera De Terminos"
"Enero","Santander","Centro De Servicios Empresariales Y Turisticos","Despacho Subdireccion De Centro","(E) Jesus Alejandro Moreno Bohorquez","Onbase","Virtual","Email","Ciudadano","Peticion","De Documentacion","Constancia Academicas","Respuesta Fuera De Terminos"
"Enero","Cesar","Centro Biotecnologico Del Caribe","Despacho Subdireccion De Centro","(E) Jaime Jose Baute Dangon","Onbase","Virtual","Web","Ciudadano","Peticion","De Servicios","Ape- Restablecimiento De Contrasena Y Actualizacion De Datos","Respuesta Fuera De Terminos"
